대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
회원수,신용카드,법인,신규회원수(월중),신규회원수(월중),0,7,7,0,3,7,4,0,9,3,-,202402
회원수,신용카드,법인,해지회원수(월중),해지회원수(월중),0,13,6,0,4,3,1,0,6,7,-,202402
회원수,신용카드,법인,사용가능회원수(월말),사용가능회원수(월말),37,703,553,36,160,286,235,35,468,790,-,202402
회원수,직불/체크카드,개인,사용가능카드수,사용가능카드수,395,9712,12157,436,19525,8837,11087,444,15513,0,-,202402
회원수,직불/체크카드,개인,사용불가카드수,사용불가카드수,29,982,1427,38,568,1212,607,30,940,0,-,202402
회원수,직불/체크카드,개인,사용가능회원수,사용가능회원수,382,8222,10226,408,13980,7116,8503,424,13132,0,-,202402
회원수,직불/체크카드,개인,사용불가회원수,사용불가회원수,26,745,739,30,362,500,299,24,329,0,-,202402
회원수,직불/체크카드,개인,순수보유회원수(월말),순수보유회원수(월말),270,7513,8060,228,7609,4875,6388,330,7894,0,-,202402
회원수,직불/체크카드,법인,사용가능카드수,사용가능카드수,2,861,480,3,335,303,256,30,644,0,-,202402
회원수,직불/체크카드,법인,사용불가카드수,사용불가카드수,0,71,43,0,62,10,14,6,127,0,-,202402
회원수,직불/체크카드,법인,사용가능회원수,사용가능회원수,2,1235,738,1,140,113,113,11,394,0,-,202402
회원수,직불/체크카드,법인,사용불가회원수,사용불가회원수,0,208,96,0,85,2,4,3,20,0,-,202402
회원수,직불/체크카드,법인,순수보유회원수(월말),순수보유회원수(월말),2,549,183,1,165,103,61,11,306,0,-,202402
금융자산,,,현금서비스잔액,현금서비스잔액,741555,6037,0,875577,1539073,651882,343235,650277,1243079,484428,6535143,202402
금융자산,,,합계,합계,4554561,36648,0,6085799,8084863,3360651,2736332,4938460,6731559,2945514,39474387,202402
금융자산,,,대환대출잔액,대환대출잔액,138739,0,0,119893,385612,259439,158381,264900,430314,36549,1793827,202402
금융자산,,,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,1088795,16233,0,1268951,1582078,454695,443649,1006360,1517230,112738,7490729,202402
국내이용금액,신용카드,개인,일시불,일반,38098535,11254484,38093937,65927407,78376095,27665618,25007892,67382921,61916401,31591556,407220909,202210
국내이용금액,신용카드,개인,일시불,국세/지방세등,922626,181374,673046,5347328,8663368,567108,435980,807848,5370736,404889,22701257,202210
국내이용금액,신용카드,개인,할부,일반,10504443,2533516,8523898,25149153,20146146,7253071,4889766,18144054,16097402,7327304,112044855,202210
국내이용금액,신용카드,개인,할부,국세/지방세등,513247,284780,1127461,2504063,2138418,926919,608225,1612647,1665207,698241,10951747,202210
국내이용금액,신용카드,개인,현금서비스,현금서비스,4729468,837836,6187728,7882830,11109327,4886918,2527198,4413242,7768026,2796904,46951749,202210
국내이용금액,신용카드,개인,카드론,카드론,4185006,2848,0,7193738,8759161,2836713,2580569,5597779,6199104,2691404,40046322,202210
국내이용금액,신용카드,법인,일시불,일반,4771294,17080272,17753172,8608647,11493302,9433811,7814237,7528605,12385211,10748292,89863671,202210
국내이용금액,신용카드,법인,일시불,국세/지방세등,823333,1442055,2842768,5305482,638586,2465090,5480360,4912905,6493889,494811,28056511,202210
